application_id,application_date,branch_id,state,applicant_age,annual_income,employment_type,employment_years,credit_score,existing_debt_balance,num_credit_lines,num_prev_loans,prev_defaults,loan_amount,loan_purpose,loan_term_months,interest_rate,monthly_payment,debt_to_income,risk_grade,loan_default
APP-000065,11/10/2023,BR-015,NC,65,132146.03,Salaried,13.2,,34055.89,13,8,0,357059.86,Personal,60,6.86,7046.65,0.6399,C,1
APP-000066,16/01/2020,BR-016,CA,40,93497.58,Self-Employed,6.4,679,37165.51,13,0,0,258235.73,Home Purchase,12,5.9,22213.56,2.851,C,1
APP-000067,11/12/2022,BR-028,AZ,21,,Salaried,6,776,15809.09,3,1,0,312885.23,Home Improvement,12,4.35,26692.21,3.2492,B,1
APP-000044,15/01/2020,BR-027,PA,71,108958.11,Salaried,10.7,649,95969.47,9,2,1,118045.12,Medical,60,5.1,2233.07,0.2459,D,0
APP-000069,18/10/2022,BR-007,OH,39,68826.84,Self-Employed,4.8,638,57745.98,6,1,1,34173.98,Debt Consolidation,48,5.38,792.9,0.1382,D,0
APP-000070,28/09/2022,BR-014,TX,67,51958.85,Salaried,3.5,792,51786.54,13,6,0,176548.82,Medical,48,4.04,3989.47,0.9214,A,0
APP-000038,05/07/2020,BR-026,AZ,29,46595.76,Unemployed,8.2,707,1382.37,12,2,0,91055.35,Home Improvement,24,4.77,3985.35,1.0264,C,1
APP-000072,06/04/2022,BR-013,TX,35,13183.2,Contract,9.2,711,15502.25,9,8,0,40953.36,Medical,12,5.68,3518.69,3.2029,C,0
APP-000073,18/04/2021,BR-021,OH,33,94912.17,Salaried,4,679,75154.67,1,7,0,188221.22,Home Improvement,48,6.36,4451.51,0.5628,C,1
APP-000074,18/12/2022,BR-013,WI,24,51930.98,Salaried,,763,30703.83,7,7,0,165358.76,Home Improvement,60,4.28,3066.27,0.7085,B,1
APP-000075,11/12/2023,BR-021,NY,22,53330.99,Self-Employed,,707,67184.67,2,3,0,44849.15,Personal,12,6.24,3864.96,0.8697,C,1
APP-000076,03/08/2020,BR-006,IL,53,48467.2,Part-Time,9.3,653,35660.31,12,0,0,14811.94,Home Purchase,36,5.19,445.19,0.1102,D,0
APP-000077,08/03/2021,BR-027,NY,71,80256.51,Salaried,12.2,653,29659.07,4,2,0,120371.37,Home Improvement,24,5.23,5293.27,0.7915,D,1
APP-000078,26/12/2022,BR-022,MI,46,43385.07,Contract,7.5,596,61196.73,10,1,1,48551.05,Medical,24,7.05,2174.86,0.6016,E,1
APP-000079,21/03/2020,BR-022,TX,64,70055.12,Self-Employed,21.1,634,79979.62,1,7,0,97355.74,Home Improvement,36,5.73,2949.85,0.5053,D,1
APP-000080,17/05/2023,BR-009,MI,45,53274.42,Self-Employed,11.4,733,93507.11,8,0,0,84091.65,Home Improvement,36,5.37,2534.3,0.5708,B,0
APP-000081,20/10/2023,BR-024,MA,47,41863.46,Salaried,4,764,55378.27,15,0,0,85734.38,Debt Consolidation,36,4.86,2564.15,0.735,B,0
APP-000082,20/03/2023,BR-001,CA,32,93393.24,Contract,12.8,612,3154.51,2,0,0,254287.85,Home Improvement,24,7,11385.12,1.4629,D,1
APP-000083,17/10/2022,BR-007,NC,39,77543.12,Part-Time,6.3,652,69429.01,3,7,0,179105.63,Home Improvement,24,5.21,7874.47,1.2186,D,0
APP-000084,05/09/2021,BR-003,PA,26,114081.91,Salaried,9.3,539,16608.76,12,3,0,370347.31,Medical,60,7.26,7378.84,0.7762,E,0
APP-000085,26/03/2021,BR-020,IL,23,166976,Self-Employed,4.6,465,190029.9,4,5,1,80027.59,Medical,24,7.44,3599.03,0.2587,E,1
APP-000086,20/12/2023,BR-002,MA,28,,Self-Employed,9.7,558,45179.53,15,4,1,51221.6,Education,60,6.64,1005.57,0.3949,E,0
APP-000087,02/01/2020,BR-017,TN,39,49467.14,Self-Employed,11.7,797,6378.83,1,6,0,157860.07,Business,84,4.75,2212.68,0.5368,A,0
APP-000088,22/06/2021,BR-021,CO,56,30269.63,Salaried,8,668,17600.8,14,5,0,22053.95,Business,84,4.96,311.29,0.1234,C,0
APP-000089,06/08/2023,BR-026,NY,38,74082.93,Self-Employed,6.3,521,83901.24,8,6,2,64641.33,Business,36,7.26,2003.63,0.3245,E,1
APP-000090,03/08/2022,BR-012,AZ,37,54817.08,Salaried,15.6,619,19872.7,5,2,1,107999.68,Home Purchase,36,6.02,3286.54,0.7195,D,0
APP-000091,29/02/2020,BR-023,WI,65,31902.43,Salaried,2.9,627,7695.78,5,8,2,25665.83,Home Improvement,36,6.53,786.98,0.296,D,0
APP-000092,27/02/2020,BR-003,WI,41,,Part-Time ,6.8,585,52699.62,14,4,0,17010.4,Home Improvement,60,7.13,337.87,0.08,E,0
APP-000093,16/05/2022,BR-024,NC,46,16228.71,Self-Employed,5.8,717,30030.02,6,7,0,56166.82,Medical,48,4.55,1282.06,0.948,C,1
APP-000094,29/08/2021,BR-001,MD,70,38962.94,Self-Employed,10.7,830,41660.47,14,7,0,95799.75,Medical,24,4.98,4202.01,1.2942,A,0
APP-000095,27/09/2023,BR-014,NJ,47,80231.49,Salaried,10.6,763,102880.6,4,4,0,27017.47,Personal,48,4.61,617.43,0.0923,B,0
APP-000096,27/09/2022,BR-025,NC,29,53709.23,salaried,8.5,779,55938.82,15,4,0,167228.43,Auto Loan,36,4.62,4983.5,1.1134,B,0
APP-000097,17/06/2023,BR-015,IN,34,,Salaried,9.1,816,49325.02,2,5,0,177846.8,Personal,60,4.94,3351.3,0.7746,A,0
APP-000098,23/12/2022,BR-011,OH,50,22219.55,Unemployed,11.1,713,20131.47,7,8,0,15098.5,Education,12,5.52,1296.15,0.7,C,1
APP-000099,04/02/2021,BR-004,IN,34,,Salaried,8,704,58760.87,14,0,0,84985.01,Personal,24,5.36,3742.13,0.4521,C,1
APP-000100,07/09/2020,BR-004,MO,62,27575.99,Part-Time,4.2,833,15577.61,13,7,0,33860.12,Business,84,4.4,469.09,0.2041,A,0
APP-000101,23/08/2022,BR-013,IL,24,67118.16,Contract,7.6,721,24151.49,15,6,0,211178.23,Education,36,4.45,6277.19,1.1223,B,0
APP-000102,28/12/2020,BR-024,WA,49,112675.12,Salaried,6.8,647,11493.54,14,8,0,143702.24,Home Improvement,60,5.07,2716.45,0.2893,D,0
APP-000103,31/12/2020,BR-005,PA,58,33750.13,Part-Time,3.6,662,39716.32,3,8,0,-87639.63,Home Purchase,48,5.39,2033.8,0.7231,C,0
APP-000104,07/01/2020,BR-028,GA,44,61628,Salaried,4.4,665,61403.3,5,4,0,79889.61,Medical,36,6.52,2449.26,0.4769,C,0
APP-000105,25/06/2023,BR-002,TN,47,124119.61,Part-Time ,1,588,52537.04,11,8,1,114190.73,Debt Consolidation,84,6.43,1691.8,0.1636,E,0
APP-000106,17/04/2020,BR-004,AZ,55,68091.31,Part-Time,13.2,,64429.14,12,2,1,94858.52,Personal,24,6.54,4227.31,0.745,D,1
APP-000107,25/02/2022,BR-016,PA,29,,Contract,5.3,769,18499.33,2,0,0,118371.38,Medical,36,4.65,3529.13,1.2212,B,0
APP-000108,10/12/2020,BR-014,IL,49,42042.5,Contract,17.6,554,62273.31,9,8,2,61523.25,Medical,12,7.31,5332.2,1.5219,E,0
APP-000109,01/09/2022,BR-004,TX,28,117029.19,Salaried,7,717,211863.53,15,4,0,258150.56,Home Improvement,48,6.09,6073.33,0.6228,C,0
APP-000110,12/08/2022,BR-013,OH,39,68646.68,Salaried,0,668,5938.13,7,6,0,236834.56,Auto Loan,36,5.97,7201.75,1.2589,C,0
APP-000111,05/10/2022,BR-022,MA,32,68286.13,Contract,6.9,625,53870.91,9,4,1,170356.12,Business,48,5.63,3971.98,0.698,D,0
APP-000112,17/04/2020,BR-006,OH,47,102673.59,Self-Employed,7,675,145275.49,5,8,0,167184.12,Medical,12,5.76,14370.5,1.6796,C,1
APP-000113,10/09/2022,BR-004,NJ,47,,Self-Employed,13,589,135387.61,3,0,0,92548.65,Home Improvement,48,6.61,2199.49,0.3685,E,0
APP-000114,03/07/2022,BR-003,OH,50,,Part-Time,2.8,633,26459.86,15,8,2,55552.57,Personal,48,6.31,1312.56,0.3321,D,1
APP-000115,15/08/2021,BR-009,TX,59,31733.81,Self-Employed,0.5,544,31545.12,9,8,0,21099.7,Home Purchase,48,7.62,511.35,0.1934,E,1
APP-000116,11/10/2022,BR-008,MA,23,46293.23,Salaried,5.9,849,26787.72,1,0,0,148339.3,Personal,60,3.64,2707.86,0.7019,A,0
APP-000117,01/06/2021,BR-022,PA,37,68229.51,Self-Employed,4.9,,15665.72,8,2,0,230904.14,Home Improvement,24,5,10130.09,1.7816,A,1
APP-000118,19/03/2023,BR-005,NJ,56,81455.72,PART-TIME,4.4,659,158752.58,13,4,0,67335.55,Education,24,6.2,2990.42,0.4405,D,0
APP-000119,01/07/2020,BR-006,MA,65,25077.17,salaried,4.1,698,45920.77,14,3,0,80752.35,Debt Consolidation,12,5.04,6914.49,3.3087,C,1
APP-000120,05/06/2023,BR-017,MI,52,93864.78,  Part-Time,6.9,560,18760.55,3,0,0,173631.61,Personal,60,6.06,3361.63,0.4298,E,0
APP-000121,19/10/2022,BR-002,PA,22,53892.03,Part-Time,11.1,836,43229.65,9,1,0,62287.48,Personal,84,4.85,875.98,0.1951,A,0
APP-000122,06/03/2020,BR-027,IL,47,27335.63,Part-Time,,850,38595.86,9,3,0,64840.5,Debt Consolidation,12,4.98,5550.24,2.4365,A,0
APP-000123,15/01/2022,BR-003,WI,69,115175.43,Self-Employed,7,,151756.64,14,6,0,279781.59,Education,24,6.1,12412.7,1.2933,D,1
APP-000124,10/01/2023,BR-011,MD,67,72071.35,Part-Time,8.9,681,143845.74,5,2,0,30225.69,Auto Loan,12,4.78,2584.5,0.4303,C,0
APP-000125,24/08/2022,BR-020,FL,56,23184.95,Salaried,7.1,688,6648.29,2,5,0,31011.55,Home Improvement,84,4.73,434.39,0.2248,C,0
APP-000126,21/07/2023,BR-028,NY,52,51995.27,Salaried,7.6,669,57236.28,5,6,0,128440.89,Debt Consolidation,24,6.72,5734.34,1.3234,C,0
APP-000127,20/04/2020,BR-021,GA,39,,Salaried,6.1,625,807.49,1,1,1,154919.74,Education,60,6.5,3031.18,0.3022,D,0
APP-000128,03/03/2020,BR-011,GA,69,,SALARIED,2.8,687,42577,1,6,0,27168.58,Medical,84,5.76,393.78,0.07,C,0
APP-000004,31/07/2022,BR-008,NJ,66,,Contract,7.9,651,2800.4,2,0,0,35756.74,Home Purchase,24,5.75,1580.74,0.8098,D,0
APP-000130,14/08/2023,BR-015,FL,66,53099.33,  Part-Time,11,778,32134.57,6,2,0,168567.28,Home Purchase,24,3.97,7317.77,1.6538,B,0
APP-000131,17/05/2021,BR-009,MA,38,21904.74,Salaried,0,594,14454.36,4,6,2,25365.21,Auto Loan,84,6.82,380.6,0.2085,E,1
APP-000132,19/05/2023,BR-019,WI,52,168821.67,Contract,0,,82114.44,3,4,0,388631.79,Personal,36,5.87,11800.05,0.8388,D,1
APP-000133,24/10/2021,BR-012,MI,40,106855.38,Salaried,0,750,212225.62,1,7,0,228706.61,Business,36,4.66,6819.68,0.7659,B,0
APP-000134,16/03/2021,BR-024,OH,24,9726.81,Contract,6.2,602,17114.4,9,2,0,33343.15,Home Purchase,36,5.55,1007.58,1.2431,D,1
APP-000135,29/04/2021,BR-017,MA,21,39450.55,Salaried,0,787,16467.98,6,1,0,103966.05,Auto Loan,36,4.94,3113.16,0.947,A,0
APP-000136,22/11/2021,BR-007,WA,44,31166.92,Self-Employed,2.1,657,32402.56,14,6,0,48930,Home Improvement,60,6.03,946.64,0.3645,D,1
APP-000137,11/03/2022,BR-007,PA,31,76452.36,Salaried,8.3,804,131116.87,2,6,0,238203.62,Home Purchase,48,4.92,5477.03,0.8597,A,0
APP-000138,11/06/2021,BR-025,IL,25,34034.61,  Salaried,2.6,603,13347.12,12,8,2,46446.54,Auto Loan,60,5.85,894.71,0.3155,D,0
APP-000139,27/06/2022,BR-030,NY,57,79112.02,Part-Time,0,452,37077.61,14,6,0,275881.53,Auto Loan,48,7.16,6626.83,1.0052,E,0
APP-000140,13/10/2023,BR-030,IL,64,59911.62,Salaried,3.2,721,102637.48,9,5,0,86978.23,Home Improvement,12,6.08,7489.1,1.5,B,0
APP-000141,10/01/2021,BR-007,NY,40,116249.53,Contract,11.6,625,185334.43,7,3,1,124477.83,Personal,36,7.23,3856.62,0.3981,D,0
APP-000038,29/08/2020,BR-027,AZ,38,42393.7,Salaried,7.9,560,2593.16,7,1,0,84360.46,Auto Loan,84,7.25,1283.56,0.3633,E,0
APP-000021,11/03/2023,BR-021,CA,58,76119.69,Part-Time,7.4,774,47162.2,6,0,0,66549.94,Business,60,4.33,1235.55,0.1948,B,1
APP-000144,02/03/2022,BR-008,WA,39,163558.08,Salaried,11.4,668,305541.8,3,3,0,411100.76,Education,84,6.2,6045.08,0.4435,C,0
APP-000145,25/01/2020,BR-009,TX,57,56115.2,Salaried,9.1,633,13657.39,6,1,1,112589.44,Auto Loan,48,7.1,2701.32,0.5777,D,0
APP-000146,18/10/2023,BR-025,MD,50,41136.72,Salaried,10.9,675,52619.89,15,1,0,130829.35,Debt Consolidation,84,6.73,1957.34,0.571,C,1
APP-000147,29/07/2021,BR-009,WA,30,68050.77,Salaried,5.9,562,41709.8,11,5,2,91414.81,Home Purchase,48,7.65,2216.71,0.3909,E,0
APP-000148,03/08/2022,BR-015,NC,64,72494.66,Self-Employed,5.9,605,94965.91,14,0,0,172676.52,Business,48,6.53,4097.41,0.6782,D,1
APP-000149,06/01/2021,BR-006,OH,37,51865.77,Salaried,14.8,656,63982.97,4,1,0,24678.34,Home Purchase,48,6.18,581.61,0.1346,D,1
APP-000150,23/04/2021,BR-002,IN,42,56890.51,Contract,,709,4214.4,8,7,0,136276.56,Home Improvement,24,5.18,5989.63,1.2634,C,1
APP-000151,06/01/2020,BR-027,IN,38,24474.69,Salaried,6.7,561,41549.84,5,5,1,66756.5,Debt Consolidation,12,7.1,5779.3,2.8336,E,0
APP-000152,26/04/2023,BR-001,MI,70,23302.94,Part-Time,2.2,609,29087.78,9,3,1,29549.65,Home Purchase,36,6.47,905.26,0.4662,D,1
APP-000153,14/09/2022,BR-014,NC,70,53203.35,Salaried,4.1,603,52103.98,1,5,2,33253.49,Education,36,6.87,1024.8,0.2311,D,0
APP-000154,30/11/2021,BR-024,IL,40,57021.58,Salaried,2.8,707,21363.1,12,3,0,-159981.06,Home Purchase,24,5.89,7082.53,1.4905,C,0
APP-000155,31/10/2020,BR-023,PA,35,63223.39,Self-Employed,8.3,663,24404.52,11,5,0,174352.72,Business,12,5.43,14960.28,2.8395,C,0
APP-000156,27/09/2022,BR-005,MO,33,,Salaried,7.7,530,86239.56,4,0,0,45362.74,Auto Loan,24,7.21,2035.33,0.4501,E,1
APP-000157,02/12/2021,BR-010,MD,32,33865.3,Salaried,3.1,550,54522.49,2,0,0,37346.31,Home Purchase,36,6.43,1143.44,0.4052,E,0
APP-000158,26/01/2020,BR-016,NY,43,,Salaried,8,602,77988.33,7,1,1,45037.68,Home Improvement,60,7.07,893.29,0.2725,D,0
APP-000159,07/05/2021,BR-030,FL,67,27353.36,Salaried,9.3,745,48426.91,4,1,0,12813.34,Debt Consolidation,36,5.58,387.37,0.1699,B,1
APP-000160,27/03/2023,BR-006,OH,27,14167.47,Salaried,,682,17876.19,4,5,0,36039.27,Education,60,5.27,684.57,0.5798,C,1
APP-000161,24/02/2021,BR-003,TX,50,44086.17,Salaried,3.1,532,13438.53,7,3,2,143948.23,Medical,84,8.13,2252.94,0.6132,E,0
APP-000162,24/07/2023,BR-008,NY,62,77320.07,Salaried,8.9,622,102992.14,6,4,0,62533.59,Home Improvement,36,6.28,1910.34,0.2965,D,0
APP-000163,14/10/2022,BR-026,WI,32,54539.69,Salaried,9.4,545,101652.38,4,8,2,77277.78,Business,24,7.39,3473.6,0.7643,E,1
APP-000052,30/03/2023,BR-027,GA,70,,Part-Time,9.6,663,210374.57,2,0,0,368279.26,Personal,36,6.52,11290.74,1.2017,C,0
APP-000165,19/03/2020,BR-020,MA,23,170208.93,Contract,2.8,657,253372.21,13,3,0,96539.59,Home Improvement,36,5.63,2920.76,0.2059,D,0
APP-000166,04/12/2022,BR-016,IN,42,146680.11,Salaried,5.6,595,284323.13,3,4,1,90208.75,Education,84,7.05,1363.7,0.1116,E,0
APP-000167,06/01/2023,BR-009,WI,36,55283.36,Salaried,5.2,781,32485.64,2,5,0,112768.21,Medical,84,4.17,1550.25,0.3365,A,0
APP-000168,07/06/2022,BR-009,MD,63,157850.06,Salaried,12.2,698,217748.02,12,8,0,188697.32,Home Improvement,24,4.65,8248.87,0.6271,C,0
APP-000169,05/10/2022,BR-027,AZ,33,76134.58,Salaried,9.9,750,52749.21,11,4,0,245188.72,Medical,36,4.45,7288.13,1.1487,B,0
APP-000170,24/06/2022,BR-011,PA,67,29818.7,Salaried,14.8,674,12877.26,15,5,0,27923.25,Business,60,6.46,545.83,0.2197,C,1
APP-000171,05/02/2023,BR-028,GA,41,174913.36,Part-Time,4.8,,49925.84,3,0,0,365084.98,Personal,24,6.24,16220.3,1.1128,D,1
APP-000172,05/09/2021,BR-015,TN,71,67618.31,Contract,7,598,117426.43,2,2,2,98924.82,Business,60,7.24,1970.05,0.3496,E,1
